"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "time_to_wifi"
"114" 40.3493 -74.6543 357.26 1.125 3 41385.8489999771 3 60
"115" 40.35 -74.6519 2.58 0.5625 3 52184.7230000496 3 0
"116" 40.3501 -74.6521 358.71 0.4375 3 52490.7999999523 3 0
"117" 40.344 -74.6579 32 0.5004 4 75201.9079999924 5 180
"118" 40.344 -74.6575 41 1.18845 4 75294.1619999409 5 90
"119" 40.3449 -74.6552 57 1.31355 4 75520.7520000935 5 45
"120" 40.345 -74.6544 187 1.1259 4 75787.5230000019 5 30
"121" 40.3439 -74.657 279 1.43865 4 76041.9019999504 5 90
"122" 40.3428 -74.6606 357 0.06255 4 76342.2269999981 5 45
"123" 40.3442 -74.6594 56 0.93825 4 76734.2990000248 5 0
"124" 40.3436 -74.6579 121 3.0024 4 76935.9549999237 5 45
"125" 40.3429 -74.6605 87 0.7506 4 77528.8929998875 5 0
"126" 40.3436 -74.6597 7 0.3753 4 77618.0899999142 5 30
"127" 40.3439 -74.6584 271 0.3753 4 77757.5299999714 5 180
"128" 40.345 -74.6565 26 1.43865 4 77994.2899999619 5 0
"129" 40.3453 -74.6561 71 1.06335 4 78036.882999897 5 0
"130" 40.3447 -74.6559 233 1.1259 2 81394.2000000477 5 0
"131" 40.3439 -74.6589 321 1.18845 2 83593.5820000172 5 0
"132" 40.3492 -74.6544 1.64 0.625 3 41316.128000021 3 60
"133" 40.3499 -74.6531 359.68 0.3125 3 71608.3120000362 3 0
"134" 40.3463 -74.6581 6.38 0.625 3 86018.3259999752 3 0
"135" 40.3463 -74.6582 329.06 0.9375 3 457.516000032425 4 0
"136" 40.3463 -74.6581 160.95 0.3125 3 17731.9019999504 4 0
"137" 40.3463 -74.6583 287.62 0.375 3 27269.8210000992 4 0
"138" 40.3497 -74.6517 0.08 0.625 3 48631.9300000668 4 0
"139" 40.3499 -74.6528 63.2 0.375 3 61291.7339999676 4 0
"140" 40.3464 -74.6581 38.46 1.25 3 7170.11899995804 5 0
